instance_name,instance_family,instance_cpu,vcpus,numa_nodes,memory_gb,avg_score,stddev,stddev_percentage,runs
standard_e8d_v5,esv3,intel xeon cpu e5-2673 v4 @ 2.30ghz,8,1,64,101750,7494,7.36%,126
standard_e8s_v3,esv3,intel xeon platinum 8171m cpu @ 2.60ghz,8,1,64,101526,1976,1.95%,77
standard_e8s_v3,esv3,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,120073,826,0.69%,35
standard_e8s_v3,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,117898,7464,6.33%,406
standard_e8s_v4,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,136061,1199,0.88%,182
standard_e8s_v4,esv5,intel xeon platinum 8370c cpu @ 2.80ghz,8,1,62.8,120429,6932,5.76%,49
standard_e8s_v5,ev3,intel xeon cpu e5-2673 v4 @ 2.30ghz,8,1,64,100794,5678,5.63%,154
standard_e8_v3,ev3,intel xeon cpu e5-2673 v4 @ 2.30ghz,8,1,64,90915,7711,8.48%,224
standard_e8_v3,ev3,intel xeon platinum 8171m cpu @ 2.60ghz,8,1,64,100458,1381,1.38%,84
standard_e8_v3,ev3,intel xeon platinum 8171m cpu @ 2.60ghz,8,1,64,89968,5738,6.38%,84
standard_e8_v3,ev4,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,119562,8628,7.22%,406
standard_e8_v4,ev4,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,135668,847,0.62%,182
standard_e8_v4,ev5,intel xeon platinum 8370c cpu @ 2.80ghz,8,1,62.8,126346,9905,7.84%,49
standard_e8_v5,eadsv5,amd epyc 7763 64-core processor,24,1,661,450787,5791,1.28%,35
standard_e96-24ads_v5,easv4,amd epyc 7452 32-core processor,24,11,672,423442,8504,2.01%,182
standard_e96-24as_v4,easv5,amd epyc 7763 64-core processor,24,1,661,448295,6035,1.35%,35
standard_e96-24as_v5,edsv5,intel xeon platinum 8370c cpu @ 2.80ghz,24,2,661.4,397038,5317,1.34%,35
standard_e96-24ds_v5,esv5,intel xeon platinum 8370c cpu @ 2.80ghz,24,2,661.4,368448,27903,7.57%,35
standard_e96-24s_v5,eadsv5,amd epyc 7763 64-core processor,48,1,661,894161,10898,1.22%,35
standard_e96-48ads_v5,easv4,amd epyc 7452 32-core processor,48,11,672,839993,14218,1.69%,70
standard_e96-48as_v4,easv5,amd epyc 7763 64-core processor,48,1,661,899801,11515,1.28%,35
standard_e96-48as_v5,edsv5,intel xeon platinum 8370c cpu @ 2.80ghz,48,2,661.4,800107,8216,1.03%,35
standard_e96-48ds_v5,esv5,intel xeon platinum 8370c cpu @ 2.80ghz,48,2,661.4,711917,43548,6.12%,35
standard_e96-48s_v5,eadsv5,amd epyc 7763 64-core processor,96,2,661.4,1832942,15387,0.84%,35
standard_e96ads_v5,easv4,amd epyc 7452 32-core processor,96,12,672,1578349,27080,1.72%,42
standard_e96as_v4,easv4,amd epyc 7452 32-core processor,96,12,672,n/a,-,-,-
standard_e96as_v4,easv5,amd epyc 7763 64-core processor,96,2,661.4,1829274,23977,1.31%,35
standard_e96as_v5,eav4,amd epyc 7452 32-core processor,96,12,672,1592228,32515,2.04%,14
standard_e96a_v4,eav4,amd epyc 7452 32-core processor,96,12,672,n/a,-,-,-
standard_e96a_v4,edsv5,intel xeon platinum 8370c cpu @ 2.80ghz,96,2,661.4,1580476,17308,1.10%,35
standard_e96ds_v5,edv5,intel xeon platinum 8370c cpu @ 2.80ghz,96,2,661.4,1584556,18706,1.18%,49
standard_e96d_v5,eadsv5,amd epyc 7763 64-core processor,96,2,661.4,1837643,18009,0.98%,35
standard_e96iads_v5,easv4,amd epyc 7452 32-core processor,96,12,672,n/a,-,-,-
standard_e96ias_v4,easv5,amd epyc 7763 64-core processor,96,2,661.4,1836489,27407,1.49%,35
standard_e96ias_v5,esv5,intel xeon platinum 8370c cpu @ 2.80ghz,96,2,661.4,1417598,86297,6.09%,35
standard_e96s_v5,ev5,intel xeon platinum 8370c cpu @ 2.80ghz,96,2,661.4,1369408,18928,1.38%,35
standard_e96_v5,f,intel xeon cpu e5-2673 v3 @ 2.40 ghz,16,2,32,253473,8597,3.39%,140
standard_f16,f,intel xeon cpu e5-2673 v4 @ 2.30 ghz,16,1,32,257457,7596,2.95%,126
standard_f16,f,intel xeon platinum 8171m cpu @ 2.60 ghz,16,1,32,244559,8036,3.29%,70
standard_f16,f,intel xeon platinum 8272cl cpu @ 2.60 ghz,16,1,32,283565,8683,3.06%,14
standard_f16,fs,intel xeon cpu e5-2673 v3 @ 2.40 ghz,16,2,32,260883,15853,6.08%,42
standard_f16s,fs,intel xeon cpu e5-2673 v4 @ 2.30 ghz,16,1,32,255762,4966,1.94%,182
standard_f16s,fs,intel xeon platinum 8171m cpu @ 2.60 ghz,16,1,32,248884,11035,4.43%,70
standard_f16s,fs,intel xeon platinum 8272cl cpu @ 2.60 ghz,16,1,32,310303,21942,7.07%,28
standard_f16s,fsv2,intel xeon platinum 8168 cpu @ 2.70 ghz,16,1,32,260760,3629,1.39%,112
standard_f16s_v2,f,intel xeon cpu e5-2673 v3 @ 2.40 ghz,1,1,2,17356,1151,6.63%,112
standard_f16s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70ghz,16,1,32,271369,1955,0.72%,280
standard_f16s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60 ghz,16,1,32,265158,2185,0.82%,182
standard_f16s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60ghz,16,1,32,271236,1325,0.49%,105
standard_f1,f,intel xeon cpu e5-2673 v4 @ 2.30 ghz,1,1,2,16508,1740,10.54%,154
standard_f1,f,intel xeon platinum 8171m cpu @ 2.60 ghz,1,1,2,16076,2065,12.84%,70
standard_f1,f,intel xeon platinum 8272cl cpu @ 2.60 ghz,1,1,2,20074,1612,8.03%,14
standard_f1,fs,intel xeon cpu e5-2673 v3 @ 2.40 ghz,1,1,2,16445,825,5.02%,42
standard_f1s,f,intel xeon cpu e5-2673 v3 @ 2.40 ghz,2,1,4,32770,1915,5.84%,126
standard_f1s,fs,intel xeon cpu e5-2673 v4 @ 2.30 ghz,1,1,2,17614,2873,16.31%,210
standard_f1s,fs,intel xeon platinum 8171m cpu @ 2.60 ghz,1,1,2,16053,1802,11.22%,70
standard_f1s,fs,intel xeon platinum 8272cl cpu @ 2.60 ghz,1,1,2,20007,1684,8.42%,28
standard_f2,f,intel xeon cpu e5-2673 v4 @ 2.30 ghz,2,1,4,33081,2242,6.78%,126
standard_f2,f,intel xeon platinum 8171m cpu @ 2.60 ghz,2,1,4,33310,2532,7.60%,84
standard_f2,f,intel xeon platinum 8272cl cpu @ 2.60 ghz,2,1,4,40746,2027,4.98%,14
standard_f2,fs,intel xeon cpu e5-2673 v3 @ 2.40 ghz,2,1,4,33451,3424,10.24%,70
standard_f2s,fs,intel xeon cpu e5-2673 v4 @ 2.30 ghz,2,1,4,33626,2990,8.89%,154
standard_f2s,fs,intel xeon platinum 8171m cpu @ 2.60 ghz,2,1,4,34386,3851,11.20%,98
standard_f2s,fs,intel xeon platinum 8272cl cpu @ 2.60 ghz,2,1,4,36826,344,0.94%,28
standard_f2s,fsv2,intel xeon platinum 8168 cpu @ 2.70 ghz,2,1,4,34903,1101,3.15%,112
standard_f2s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70ghz,2,1,4,35925,603,1.68%,308
standard_f2s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70 ghz,32,1,64,525608,6270,1.19%,98
standard_f2s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60 ghz,2,1,4,34738,1331,3.83%,224
standard_f2s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60ghz,2,1,4,35659,344,0.96%,112
standard_f32s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70ghz,32,1,64,538734,3795,0.70%,245
standard_f32s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70 ghz,48,2,96,769768,7567,0.98%,112
standard_f32s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60 ghz,32,1,64,530137,6085,1.15%,140
standard_f32s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60ghz,32,1,64,537915,7646,1.42%,91
standard_f48s_v2,f,intel xeon cpu e5-2673 v3 @ 2.40 ghz,4,1,8,65694,3512,5.35%,126
standard_f48s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70ghz,48,2,96,780596,8712,1.12%,182
standard_f48s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60 ghz,48,1,96,742828,17316,2.33%,112
standard_f48s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60ghz,48,1,96,749662,21751,2.90%,56
standard_f4,f,intel xeon cpu e5-2673 v4 @ 2.30 ghz,4,1,8,65054,3457,5.31%,154
standard_f4,f,intel xeon platinum 8171m cpu @ 2.60 ghz,4,1,8,61607,3662,5.94%,56
standard_f4,f,intel xeon platinum 8272cl cpu @ 2.60 ghz,4,1,8,76884,1763,2.29%,14
standard_f4,fs,intel xeon cpu e5-2673 v3 @ 2.40 ghz,4,1,8,67351,4407,6.54%,42
standard_f4s,fs,intel xeon cpu e5-2673 v4 @ 2.30 ghz,4,1,8,67009,4637,6.92%,196
standard_f4s,fs,intel xeon platinum 8171m cpu @ 2.60 ghz,4,1,8,63668,3375,5.30%,84
standard_f4s,fs,intel xeon platinum 8272cl cpu @ 2.60 ghz,4,1,8,79153,15034,18.99%,28
standard_f4s,fsv2,intel xeon platinum 8168 cpu @ 2.70ghz,4,1,8,65819,851,1.29%,245
standard_f4s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70 ghz,4,1,8,66828,1524,2.28%,168
standard_f4s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70 ghz,64,2,128,1030552,8106,0.79%,70
standard_f4s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60ghz,4,1,8,65683,459,0.70%,98
standard_f4s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60 ghz,4,1,8,66903,1047,1.57%,182
standard_f64s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70ghz,64,2,128,1035424,11557,1.12%,175
standard_f64s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70ghz,72,2,144,1126078,12094,1.07%,182
standard_f64s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60ghz,64,2,128,1023867,17292,1.69%,63
standard_f64s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60 ghz,64,2,128,1028052,9373,0.91%,168
standard_f72s_v2,f,intel xeon cpu e5-2673 v3 @ 2.40 ghz,8,1,16,130415,5353,4.10%,98
standard_f72s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70 ghz,72,2,144,n/a,-,-,-
standard_f72s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60ghz,72,2,144,1120116,15662,1.40%,42
standard_f72s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60 ghz,72,2,144,n/a,-,-,-
standard_f8,f,intel xeon cpu e5-2673 v4 @ 2.30 ghz,8,1,16,126139,2917,2.31%,126
standard_f8,f,intel xeon platinum 8171m cpu @ 2.60 ghz,8,1,16,122443,4391,3.59%,98
standard_f8,f,intel xeon platinum 8272cl cpu @ 2.60 ghz,8,1,16,144696,2172,1.50%,14
standard_f8,fs,intel xeon cpu e5-2673 v3 @ 2.40 ghz,8,1,16,128232,1272,0.99%,42
standard_f8s,fs,intel xeon cpu e5-2673 v4 @ 2.30 ghz,8,1,16,127871,5109,4.00%,154
standard_f8s,fs,intel xeon platinum 8171m cpu @ 2.60 ghz,8,1,16,122811,5481,4.46%,126
standard_f8s,fs,intel xeon platinum 8272cl cpu @ 2.60 ghz,8,1,16,154842,10354,6.69%,28
standard_f8s,fsv2,intel xeon platinum 8168 cpu @ 2.70 ghz,8,1,16,131477,2180,1.66%,140
standard_f8s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70ghz,8,1,16,136027,1272,0.94%,238
standard_f8s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60 ghz,8,1,16,132533,1732,1.31%,210
standard_f8s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,16,135829,912,0.67%,91
standard_f8s_v2,fxmds,intel xeon gold 6246r cpu @ 3.40ghz,12,1,247.8,228808,827,0.36%,42
standard_fx12mds,fxmds,intel xeon gold 6246r cpu @ 3.40ghz,24,1,495.8,475203,2142,0.45%,42
standard_fx24mds,fxmds,intel xeon gold 6246r cpu @ 3.40ghz,36,2,744.1,678947,10647,1.57%,42
standard_fx36mds,fxmds,intel xeon gold 6246r cpu @ 3.40ghz,48,2,992.1,899165,12000,1.33%,42
standard_fx48mds,fxmds,intel xeon gold 6246r cpu @ 3.40ghz,4,1,82.5,77794,711,0.91%,42
standard_fx4mds,standardg1,intel xeon cpu e5-2698b v3 @ 2.00 ghz,2,1,28,36386,4100,11.27%,252
standard_g1,standardg2,intel xeon cpu e5-2698b v3 @ 2.00 ghz,4,1,56,72484,5563,7.67%,252
standard_g2,standardg3,intel xeon cpu e5-2698b v3 @ 2.00 ghz,8,1,112,136618,5714,4.18%,252
standard_g3,standardg4,intel xeon cpu e5-2698b v3 @ 2.00 ghz,16,1,224,261708,3426,1.31%,238
standard_g4,standardg5,intel xeon cpu e5-2698b v3 @ 2.00 ghz,32,2,448,507423,7261,1.43%,252
standard_g5,standardgs1,intel xeon cpu e5-2698b v3 @ 2.00 ghz,2,1,28,35593,2888,8.11%,252
standard_gs1,standardgs2,intel xeon cpu e5-2698b v3 @ 2.00 ghz,4,1,56,72188,5949,8.24%,252
standard_gs2,standardgs3,intel xeon cpu e5-2698b v3 @ 2.00 ghz,8,1,112,132665,6910,5.21%,238
standard_gs3,standardgs4-4,intel xeon cpu e5-2698b v3 @ 2.00 ghz,4,1,224,79352,4935,6.22%,224
standard_gs4-4,standardgs4-8,intel xeon cpu e5-2698b v3 @ 2.00 ghz,8,1,224,137774,6887,5.00%,238
standard_gs4-8,standardgs4,intel xeon cpu e5-2698b v3 @ 2.00 ghz,16,1,224,261542,3722,1.42%,252
standard_gs4,standardgs5-16,intel xeon cpu e5-2698b v3 @ 2.00 ghz,16,2,448,278656,5235,1.88%,224
standard_gs5-16,standardgs5-8,intel xeon cpu e5-2698b v3 @ 2.00 ghz,8,2,448,157541,3151,2.00%,238
standard_gs5-8,standardgs5,intel xeon cpu e5-2698b v3 @ 2.0 0ghz,32,2,448,507026,6895,1.36%,252
standard_gs5,hbv3,amd epyc 7v73x 64-core processor,16,4,440.9,441414,16866,3.82%,35
standard_hb120-16rs_v3,hbv3,amd epyc 7v13 64-core processor,32,4,440.9,812130,29738,3.66%,7
standard_hb120-32rs_v3,hbv3,amd epyc 7v73x 64-core processor,32,4,440.9,821802,31550,3.84%,35
standard_hb120-32rs_v3,hbv3,amd epyc 7v73x 64-core processor,64,4,440.9,1602181,77107,4.81%,42
standard_hb120-64rs_v3,hbv3,amd epyc 7v13 64-core processor,96,4,440.9,2345787,74660,3.18%,7
standard_hb120-96rs_v3,hbrsv2,amd epyc 7v12 64-core processor,120,30,425.1,2583980,68594,2.65%,133
standard_hb120-96rs_v3,hbv3,amd epyc 7v73x 64-core processor,96,4,440.9,2396063,79104,3.30%,35
standard_hb120rs_v2,hbv3,amd epyc 7v13 64-core processor,120,4,440.9,2725819,62125,2.28%,7
standard_hb120rs_v3,hbs,amd epyc 7551 32-core processor,60,15,228,1023210,20154,1.97%,42
standard_hb120rs_v3,hbv3,amd epyc 7v73x 64-core processor,120,4,440.9,2736592,88258,3.23%,49
standard_hb60rs,hbs,amd epyc 7551 32-core processor,60,15,228,986593,28102,2.85%,21
standard_hb60rs,hcs,intel xeon platinum 8168 cpu @ 2.70ghz,44,2,352,963560,17319,1.80%,84
standard_hc44rs,hcs,intel xeon platinum 8168 cpu @ 2.70ghz,44,2,352,995006,25995,2.61%,21
standard_hc44rs,ls,intel xeon cpu e5-2698b v3 @ 2.00ghz,16,1,128,259512,7269,2.80%,252
standard_l16s,lsv2,amd epyc 7551 32-core processor,16,2,128,198472,3734,1.88%,70
standard_l16s_v2,ls,intel xeon cpu e5-2698b v3 @ 2.00ghz,32,2,256,506359,7472,1.48%,252
standard_l16s_v2,lsv2,amd epyc 7551 32-core processor,16,2,128,200664,2866,1.43%,448
standard_l32s,lsv2,amd epyc 7551 32-core processor,32,4,256,390015,10126,2.60%,77
standard_l32s_v2,lsv2,amd epyc 7551 32-core processor,32,4,256,396781,7237,1.82%,462
standard_l32s_v2,lsv2,amd epyc 7551 32-core processor,48,6,384,583388,15479,2.65%,77
standard_l48s_v2,ls,intel xeon cpu e5-2698b v3 @ 2.00ghz,4,1,32,69902,6012,8.60%,294
standard_l48s_v2,lsv2,amd epyc 7551 32-core processor,48,6,384,584059,13101,2.24%,112
standard_l4s,lsv2,amd epyc 7551 32-core processor,64,8,512,768442,19518,2.54%,70
standard_l64s_v2,lsv2,amd epyc 7551 32-core processor,64,8,512,774827,19205,2.48%,77
standard_l64s_v2,lsv2,amd epyc 7551 32-core processor,80,10,640,966682,22811,2.36%,77
standard_l80s_v2,ls,intel xeon cpu e5-2698b v3 @ 2.00ghz,8,1,64,133859,7026,5.25%,280
standard_l8s,lsv2,amd epyc 7551 32-core processor,8,1,64,101433,844,0.83%,448
standard_l8s_v2,lsv2,amd epyc 7551 32-core processor,8,1,64,102237,1320,1.29%,77
standard_l8s_v2,m32ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,32,4,3892,414541,4739,1.14%,63
standard_m128-32ms,m32ms,intel xeon platinum 8280m cpu @ 2.70ghz,32,4,3892,380611,5653,1.49%,21
standard_m128-32ms,m64ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,64,4,3892,817496,8437,1.03%,56
standard_m128-64ms,m64ms,intel xeon platinum 8280m cpu @ 2.70ghz,64,4,3892,749800,8506,1.13%,28
standard_m128-64ms,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,128,4,3831.1,1907006,25958,1.36%,35
standard_m128dms_v2,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,128,4,2015.9,1925932,29177,1.51%,35
standard_m128ds_v2,m,intel xeon cpu e7-8890 v3 @ 2.50ghz,128,4,2048,1643769,17798,1.08%,70
standard_m128,m,intel xeon cpu e7-8890 v3 @ 2.50ghz,128,4,3892,1631313,18162,1.11%,70
standard_m128,m,intel xeon platinum 8280m cpu @ 2.70ghz,128,4,2048,1475843,16197,1.10%,14
standard_m128m,m,intel xeon platinum 8280m cpu @ 2.70ghz,128,4,3892,1471781,17646,1.20%,14
standard_m128m,ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,128,4,3892,1645242,17679,1.07%,63
standard_m128ms,ms,intel xeon platinum 8280m cpu @ 2.70ghz,128,4,3892,1479298,16978,1.15%,21
standard_m128ms,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,128,4,3831.1,1907485,30641,1.61%,42
standard_m128ms_v2,ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,128,4,2048,1641176,16698,1.02%,70
standard_m128s,ms,intel xeon platinum 8280m cpu @ 2.70ghz,128,4,2048,1477253,15626,1.06%,14
standard_m128s,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,128,4,2015.9,1905457,53830,2.83%,35
standard_m128s_v2,m4ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,4,1,437.5,56218,304,0.54%,70
standard_m16-4ms,m4ms,intel xeon platinum 8280m cpu @ 2.70ghz,4,1,437.5,48401,205,0.42%,14
standard_m16-4ms,ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,8,1,437.5,110426,383,0.35%,56
standard_m16-8ms,ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,16,1,437.5,220331,473,0.21%,70
standard_m16-8ms,ms,intel xeon platinum 8280m cpu @ 2.70ghz,8,1,437.5,100377,442,0.44%,28
standard_m16ms,ms,intel xeon platinum 8280m cpu @ 2.70ghz,16,1,437.5,200561,877,0.44%,14
standard_m16ms,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,192,4,4031.9,2813406,47652,1.69%,35
standard_m192idms_v2,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,192,4,2015.9,2818523,48260,1.71%,35
standard_m192ids_v2,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,192,4,4031.9,2797557,39161,1.40%,35
standard_m192ims_v2,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,192,4,2015.9,2805023,39961,1.42%,35
standard_m192is_v2,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,192,4,4031.9,2794826,44549,1.59%,84
standard_m192ms_v2,msv2,intel xeon platinum 8180m cpu @ 2.50ghz,208,4,5700,3009120,58843,1.96%,42
standard_m208ms_v2,msv2,intel xeon platinum 8180m cpu @ 2.50ghz,208,4,2850,3020762,55134,1.83%,84
standard_m208ms_v2,msv2,intel xeon platinum 8180m cpu @ 2.50ghz,208,8,5700,3093184,33253,1.08%,42
standard_m208s_v2,m16ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,16,1,875,220495,569,0.26%,70
standard_m32-16ms,m16ms,intel xeon platinum 8280m cpu @ 2.70ghz,16,1,875,200494,723,0.36%,14
standard_m32-16ms,ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,8,1,875,110408,346,0.31%,56
standard_m32-8ms,ms,intel xeon platinum 8280m cpu @ 2.70ghz,8,1,875,100521,643,0.64%,28
standard_m32-8ms,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,32,2,861.2,507318,12103,2.39%,35
standard_m32dms_v2,mls,intel xeon cpu e7-8890 v3 @ 2.50ghz,32,1,256,433173,4290,0.99%,70
standard_m32ls,mls,intel xeon platinum 8280m cpu @ 2.70ghz,32,1,256,400287,1610,0.40%,14
standard_m32ls,ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,32,1,875,434866,2560,0.59%,70
standard_m32ms,ms,intel xeon platinum 8280m cpu @ 2.70ghz,32,1,875,400583,1596,0.40%,14
standard_m32ms,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,32,2,861.2,501859,6988,1.39%,42
standard_m32ms_v2,mts,intel xeon cpu e7-8890 v3 @ 2.50ghz,32,1,192,435785,2164,0.50%,77
standard_m32ts,msv2,intel xeon platinum 8180m cpu @ 2.50ghz,208,8,11400,3064892,40531,1.32%,77
standard_m32ts,mts,intel xeon platinum 8280m cpu @ 2.70ghz,32,1,192,399771,1291,0.32%,7
standard_m416-208ms_v2,msv2,intel xeon platinum 8180m cpu @ 2.50ghz,208,8,5700,3085232,36568,1.19%,70
standard_m416-208s_v2,msv2,intel xeon platinum 8180m cpu @ 2.50ghz,416,8,11400,5910261,101190,1.71%,84
standard_m416ms_v2,msv2,intel xeon platinum 8180m cpu @ 2.50ghz,416,8,5700,5959252,93933,1.58%,84
standard_m416s_v2,m16ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,16,2,1792,210947,2766,1.31%,77
standard_m64-16ms,m16ms,intel xeon platinum 8280m cpu @ 2.70ghz,16,2,1792,191761,3503,1.83%,7
standard_m64-16ms,m32ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,32,2,1792,416909,3769,0.90%,63
standard_m64-32ms,m32ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,32,3,1792,417771,4820,1.15%,7
standard_m64-32ms,m32ms,intel xeon platinum 8280m cpu @ 2.70ghz,32,2,1792,382773,3547,0.93%,14
standard_m64-32ms,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,64,4,1763.9,979367,13927,1.42%,35
standard_m64dms_v2,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,64,2,1007.9,980928,16781,1.71%,35
standard_m64ds_v2,m,intel xeon cpu e7-8890 v3 @ 2.50ghz,64,2,1024,821678,11118,1.35%,77
standard_m64ls,m,intel xeon cpu e7-8890 v3 @ 2.50ghz,64,2,1792,817400,9397,1.15%,56
standard_m64ls,mls,intel xeon platinum 8280m cpu @ 2.70ghz,64,2,512,759753,7639,1.01%,7
standard_m64,m,intel xeon platinum 8280m cpu @ 2.70ghz,64,2,1024,754180,5686,0.75%,7
standard_m64,mls,intel xeon cpu e7-8890 v3 @ 2.50ghz,64,2,512,820406,13530,1.65%,77
standard_m64m,m,intel xeon platinum 8280m cpu @ 2.70ghz,64,2,1792,754929,10566,1.40%,28
standard_m64m,ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,64,2,1792,823449,7565,0.92%,70
standard_m64ms,ms,intel xeon platinum 8280m cpu @ 2.70ghz,64,2,1792,755541,9337,1.24%,14
standard_m64ms,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,64,4,1763.9,980511,16384,1.67%,42
standard_m64ms_v2,ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,64,2,1024,822245,7256,0.88%,70
standard_m64s,ms,intel xeon platinum 8280m cpu @ 2.70ghz,64,2,1024,750702,9866,1.31%,14
standard_m64s,msv2,intel xeon platinum 8280m cpu @ 2.70ghz,64,2,1007.9,977226,15256,1.56%,35
standard_m64s_v2,standardm8-2ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,2,1,218.8,28041,35,0.12%,84
standard_m8-2ms,standardm8-4ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,4,1,218.8,56231,348,0.62%,77
standard_m8-4ms,standardm8-4ms,intel xeon platinum 8280m cpu @ 2.70ghz,4,1,218.8,48391,280,0.58%,7
standard_m8-4ms,standardm8ms,intel xeon cpu e7-8890 v3 @ 2.50ghz,8,1,218.8,110370,366,0.33%,84
